full_name,owner,name,html_url,stargazers_count,forks_count,topics,matched_topics
FarazF19/Conversational-QnA-Chatbot,FarazF19,Conversational-QnA-Chatbot,https://github.com/FarazF19/Conversational-QnA-Chatbot,0,0,"agentic,ai,chatbots,chromadb,conversational-ai,groq-api,huggingface,langchain,llama3-8b,llms,open-source-llm,python,retrieval-augmented-generation,vectorstore",open-source-llm
sawadkk/LocalPrompt,sawadkk,LocalPrompt,https://github.com/sawadkk/LocalPrompt,0,0,"ai-development,ai-prompt,fastapi,llama-cpp,llm,local-ai,mistral7b,offline-ai,open-source-llm,self-hosted-ai",open-source-llm
srinivasansaravanamuthu/PrivateLLM,srinivasansaravanamuthu,PrivateLLM,https://github.com/srinivasansaravanamuthu/PrivateLLM,0,0,"generative-ai,llm,open,open-source-llm,private-llm,small-llm",open-source-llm
AlexPraxedes12/LearnSynth,AlexPraxedes12,LearnSynth,https://github.com/AlexPraxedes12/LearnSynth,0,0,"concept-map,edtech,fastapi,flutter,gpt-oss-20b,llm,ocr,open-source-llm,openai,openai-compatible,quiz-generation,replicate,tesseract,whisper",open-source-llm
mshobari/local_ollama_project,mshobari,local_ollama_project,https://github.com/mshobari/local_ollama_project,0,0,"azure-ai,chatgpt-api,claude-ai,copilot-chat,embeddings,gemini,genai,gpt4all,llama,llm,macos,mkdocs,ollama-php,open-source-llm,openai,python,rag,ubuntu",open-source-llm
mostafaaladham/UXI-LLM,mostafaaladham,UXI-LLM,https://github.com/mostafaaladham/UXI-LLM,0,1,"composable-ai,extensible-ai,language-agnostic-llm,llm-training-toolkit,local-fine-tuning,modular-llm,multi-language-ai,open-source-llm,python-llm-framework,symbolic-reasoning",open-source-llm
vllm-project/vllm,vllm-project,vllm,https://github.com/vllm-project/vllm,62346,11083,"gpt,llm,pytorch,model-serving,transformer,llm-serving,inference,llama,amd,cuda,tpu,deepseek,qwen,blackwell,deepseek-v3,gpt-oss,kimi,moe,openai,qwen3","llm-serving,model-serving"
sgl-project/sglang,sgl-project,sglang,https://github.com/sgl-project/sglang,19872,3288,"cuda,inference,llama,llava,llm,llm-serving,moe,pytorch,transformer,vlm,llama3,deepseek,deepseek-v3,deepseek-r1,qwen3,blackwell,openai,kimi,gpt-oss,deepseek-v3-2",llm-serving
NVIDIA/TensorRT-LLM,NVIDIA,TensorRT-LLM,https://github.com/NVIDIA/TensorRT-LLM,12053,1846,"blackwell,cuda,moe,pytorch,llm-serving",llm-serving
skypilot-org/skypilot,skypilot-org,skypilot,https://github.com/skypilot-org/skypilot,8913,833,"cloud-computing,data-science,deep-learning,gpu,hyperparameter-tuning,machine-learning,tpu,job-queue,job-scheduler,cloud-management,distributed-training,ml-infrastructure,multicloud,spot-instances,ml-platform,cost-management,cost-optimization,finops,llm-serving,llm-training",llm-serving
PaddlePaddle/FastDeploy,PaddlePaddle,FastDeploy,https://github.com/PaddlePaddle/FastDeploy,3553,645,"serving,ernie,llm,inference,llm-serving,openai,vllm,ernie-45,ernie-45-vl",llm-serving
MoonshotAI/MoBA,MoonshotAI,MoBA,https://github.com/MoonshotAI/MoBA,1952,116,"flash-attention,llm,llm-serving,llm-training,moe,pytorch,transformer",llm-serving
thu-pacman/chitu,thu-pacman,chitu,https://github.com/thu-pacman/chitu,1325,88,"deepseek,gpu,llm,pytorch,llm-serving,model-serving","llm-serving,model-serving"
vllm-project/vllm-ascend,vllm-project,vllm-ascend,https://github.com/vllm-project/vllm-ascend,1322,542,"ascend,inference,llm,llm-serving,llmops,mlops,model-serving,transformer,vllm","llm-serving,mlops,model-serving"
ray-project/ray-llm,ray-project,ray-llm,https://github.com/ray-project/ray-llm,1262,92,"ray,llm,llm-serving",llm-serving
alibaba/rtp-llm,alibaba,rtp-llm,https://github.com/alibaba/rtp-llm,918,117,"gpt,inference,llama,llm,llm-serving,llmops,model-serving","llm-serving,model-serving"
efeslab/Nanoflow,efeslab,Nanoflow,https://github.com/efeslab/Nanoflow,912,44,"cuda,inference,llama2,llm,llm-serving,model-serving","llm-serving,model-serving"
mosecorg/mosec,mosecorg,mosec,https://github.com/mosecorg/mosec,882,66,"model-serving,deep-learning,machine-learning,nerual-network,mlops,machine-learning-platform,hacktoberfest,gpu,python,pytorch,tensorflow,llm,jax,llm-serving,rust,cv,mxnet,tts","llm-serving,mlops,model-serving"
GradientHQ/parallax,GradientHQ,parallax,https://github.com/GradientHQ/parallax,606,48,"chatbot,distributed-systems,kimi,llama,llm,qwen,oss-gpt,large-language-models,python,pytorch,decentralized-inference,blackwell,transformer,llm-serving,glm,minimax,deepseek",llm-serving
helixml/helix,helixml,helix,https://github.com/helixml/helix,525,58,"golang,llama,llm,mistral,openai,self-hosted,mixtral,sdxl,stable-diffusion,api,finetuning,function-calling,llm-agent,llm-serving,openapi,rag,swagger,helm,k8s,gptscript",llm-serving
HPMLL/BurstGPT,HPMLL,BurstGPT,https://github.com/HPMLL/BurstGPT,218,11,"dataset,llm,mlsys,llm-serving",llm-serving
torchpipe/torchpipe,torchpipe,torchpipe,https://github.com/torchpipe/torchpipe,163,13,"deployment,inference,pipeline-parallelism,serving,tensorrt,triton-inference-server,ray,pytorch,torch2trt,serve,llm-serving",llm-serving
slai-labs/get-beam,slai-labs,get-beam,https://github.com/slai-labs/get-beam,102,23,"artificial-intelligence,machine-learning,python,serverless,cloud-computing,cost-optimization,data-science,deep-learning,distributed-computing,gpu-acceleration,gpu-computing,hpc,llm-serving,llm-training,ml-infrastructure,mlops,serverless-architectures",llm-serving
NexusGPU/tensor-fusion,NexusGPU,tensor-fusion,https://github.com/NexusGPU/tensor-fusion,95,21,"ai,amd-gpu,gpu,gpu-pooling,gpu-scheduling,gpu-virtualization,nvidia,rcuda,remote-gpu,vgpu,autoscaling,gpu-usage,inference,karpenter,llm-serving,pytorch,dynamic-resource-allocation,gpu-acceleration,kubernetes",llm-serving
alibaba/ServeGen,alibaba,ServeGen,https://github.com/alibaba/ServeGen,77,4,"deepseek,llm,llm-serving,model-serving,qwen","llm-serving,model-serving"
asprenger/ray_vllm_inference,asprenger,ray_vllm_inference,https://github.com/asprenger/ray_vllm_inference,76,9,"inference,llm,llm-serving,llmops,mlops,model-serving,pytorch,ray,transformer,vllm","llm-serving,model-serving"
tiannuo-yang/SearchAgent-X,tiannuo-yang,SearchAgent-X,https://github.com/tiannuo-yang/SearchAgent-X,75,5,"agent,ai,approximate-nearest-neighbor-search,information-retrieval,llm,rag,vllm,llm-serving,post-training,rlhf,efficient-ai",llm-serving
efficientscaling/Z1,efficientscaling,Z1,https://github.com/efficientscaling/Z1,66,2,"llm,reasoning,codellms,llm-serving",llm-serving
sugarcane-ai/sugarcane-ai,sugarcane-ai,sugarcane-ai,https://github.com/sugarcane-ai/sugarcane-ai,51,14,"ai,llm,prompt-engineering,framework,llm-chain,llm-framework,llm-serving,llm-training,llmops,next,packages,performance,prompts,llm-finetuning",llm-serving
AntonioGr7/pratical-llms,AntonioGr7,pratical-llms,https://github.com/AntonioGr7/pratical-llms,50,15,"genai,llm,llm-evaluation,llm-inference,llm-serving,llm-training,quantization",llm-serving
friendliai/friendli-client,friendliai,friendli-client,https://github.com/friendliai/friendli-client,48,7,"generative-ai,llm,llm-inference,llmops,serving,gpt,gpt3,inference,llama2,llm-serving,llms,inference-engine,inference-server,ai,llm-ops,mistral,ml,mlops,stable-diffusion","inference-engine,llm-ops,llm-serving"
James-QiuHaoran/LLM-serving-with-proxy-models,James-QiuHaoran,LLM-serving-with-proxy-models,https://github.com/James-QiuHaoran/LLM-serving-with-proxy-models,47,7,"bert-model,llama,llm-inference,llm-serving,proxy-model,scheduling",llm-serving
gty111/gLLM,gty111,gLLM,https://github.com/gty111/gLLM,42,4,"llm-inference,pipeline-parallelism,llm-serving,token-throttling,qwen3,tensor-parallelism,continuous-batching,pagedattention,chunked-prefill",llm-serving
blackbird-io/blackbird,blackbird-io,blackbird,https://github.com/blackbird-io/blackbird,37,4,"big-data,cpp,distributed-cache,gpu,infiniband,kv-cache,python,rdma,ucx,vllm,cuda,llm-serving,sglang,gpu-multiplexing,llm-framework",llm-serving
AdrianMosnegutu/docscribe.nvim,AdrianMosnegutu,docscribe.nvim,https://github.com/AdrianMosnegutu/docscribe.nvim,31,0,"artificial-intelligence,docs-generator,llm,llm-serving,nvim,nvim-plugin,terminal",llm-serving
ray-project/llms-in-prod-workshop-2023,ray-project,llms-in-prod-workshop-2023,https://github.com/ray-project/llms-in-prod-workshop-2023,26,3,"anyscale,llm,llm-inference,llm-serving,llms,ray",llm-serving
France-Travail/happy_vllm,France-Travail,happy_vllm,https://github.com/France-Travail/happy_vllm,24,3,"api-rest,llm,llm-serving,production,vllm",llm-serving
genia-dev/vibraniumdome,genia-dev,vibraniumdome,https://github.com/genia-dev/vibraniumdome,23,4,"adversarial-attacks,chatgpt,large-language-model,llm,openai,prompt-injection,prompt-injection-tool,security,llm-agent,llm-security,llmops,prompt-engineering,prompts,llm-framework,llm-inference,llm-serving,llm-firewall,llm-evaluation,llm-eval",llm-serving
oscinis-com/Awesome-LLM-Productization,oscinis-com,Awesome-LLM-Productization,https://github.com/oscinis-com/Awesome-LLM-Productization,23,4,"ai,large-language-models,llm,llm-inference,llm-serving,llmops,machine-learning,mlops,production,transformer,awesome,awesome-list",llm-serving
sugarcane-ai/sugarcane-ai.github.io,sugarcane-ai,sugarcane-ai.github.io,https://github.com/sugarcane-ai/sugarcane-ai.github.io,16,3,"llm,llmops,generative-ai,framework,workflow,reusable,typescript,api,prompt,prompt-engineering,prompts,fine-tuning,training,llm-training,llm-serving,microservices,architecture",llm-serving
zejia-lin/BulletServe,zejia-lin,BulletServe,https://github.com/zejia-lin/BulletServe,16,0,"inference,sglang,gpu-sharing,llm,llm-serving",llm-serving
Neural-Dragon-AI/Cynde,Neural-Dragon-AI,Cynde,https://github.com/Neural-Dragon-AI/Cynde,15,0,"autoscaling,llm-inference,llm-serving,modal-labs,openai-api,polars,pydantic,xgboost,intelligence-farming,pydantic-logfire",llm-serving
Jason-cs18/HetServe-Foundation,Jason-cs18,HetServe-Foundation,https://github.com/Jason-cs18/HetServe-Foundation,14,0,"llm-serving,survey,diffusion-models,foundation-models",llm-serving
genlm/genlm-backend,genlm,genlm-backend,https://github.com/genlm/genlm-backend,14,4,"llm-serving,probabilistic-programming,language-model",llm-serving
MinjaeKIM753/ClaudeComputerUseBeta-Win64,MinjaeKIM753,ClaudeComputerUseBeta-Win64,https://github.com/MinjaeKIM753/ClaudeComputerUseBeta-Win64,12,4,"claude,computeruse,sonnet,windows,beta-testing,anthropic,anthropic-claude,ai,control-systems,llm,llm-serving,sonnet3-5,virtual-machine",llm-serving
ehsanghaffar/llm-practice,ehsanghaffar,llm-practice,https://github.com/ehsanghaffar/llm-practice,12,3,"langchain,llama2,llamacpp,llm-serving",llm-serving
fiorino-ai/fiorino-ai,fiorino-ai,fiorino-ai,https://github.com/fiorino-ai/fiorino-ai,11,0,"analytics,billing,claude,cost,large-language-model,llm,llm-inference,llm-serving,llms,mistral,openai",llm-serving
ray-project/anyscale-berkeley-ai-hackathon,ray-project,anyscale-berkeley-ai-hackathon,https://github.com/ray-project/anyscale-berkeley-ai-hackathon,11,0,"anyscale,berkeley-ai,hackathon,llm,llm-inference,llm-serving,ray-distributed",llm-serving
mddunlap924/LLM-Inference-Serving,mddunlap924,LLM-Inference-Serving,https://github.com/mddunlap924/LLM-Inference-Serving,9,1,"deepspeed,large-language-models,llamacpp,llamafile,llm-inference,llm-serving,llms,vllm",llm-serving
ray-project/llm-application,ray-project,llm-application,https://github.com/ray-project/llm-application,8,2,"anyscale,llm,llm-serving,ray-distributed,nlp,scalable-machine-learning",llm-serving
pierreolivierbonin/Canada-Labour-Research-Assistant,pierreolivierbonin,Canada-Labour-Research-Assistant,https://github.com/pierreolivierbonin/Canada-Labour-Research-Assistant,8,3,"chatbot-application,chatbot-framework,labour,labour-relations,lcs-algorithm,llm,llm-inference,llm-serving,metadata,ollama,question-answering,quotations,rag-chatbot,retrieval-augmented-generation,sentence-transformers,source-referencing,streamlit,string-matching-algorithms,vector-database,vllm",llm-serving
romitjain/awesome-llm-systems,romitjain,awesome-llm-systems,https://github.com/romitjain/awesome-llm-systems,8,0,"inference,llm,llm-serving,systems,cuda-programming,distributed-training,kernels,llm-training",llm-serving
IvanLuLyf/bunny-llm,IvanLuLyf,bunny-llm,https://github.com/IvanLuLyf/bunny-llm,7,1,"chatgpt,chatgpt-api,cloudflare-workers-ai,llm,llm-serving",llm-serving
France-Travail/benchmark_llm_serving,France-Travail,benchmark_llm_serving,https://github.com/France-Travail/benchmark_llm_serving,7,1,"benchmark,llm,llm-serving,vllm",llm-serving
cortecs-ai/cortecs-py,cortecs-ai,cortecs-py,https://github.com/cortecs-ai/cortecs-py,7,0,"llm-inference,llm-serving",llm-serving
fork123aniket/LLM-RAG-powered-QA-App,fork123aniket,LLM-RAG-powered-QA-App,https://github.com/fork123aniket/LLM-RAG-powered-QA-App,6,1,"context-aware-system,eleutherai,fine-tuning,large-language-models,llm-inference,llm-serving,llm-training,llmops,parameter-efficient-fine-tuning,question-answering,ray,ray-serve,retrieval-augmented-generation",llm-serving
pandego/vLLM-deployment,pandego,vLLM-deployment,https://github.com/pandego/vLLM-deployment,5,2,"llm,llm-serving",llm-serving
unaidedelf8777/faster-outlines,unaidedelf8777,faster-outlines,https://github.com/unaidedelf8777/faster-outlines,5,0,"ai,llama,llm-serving,performance,transformer,llm,llmops,model-serving","llm-serving,model-serving"
LoopGlitch26/Hinglish-AI-Mentor,LoopGlitch26,Hinglish-AI-Mentor,https://github.com/LoopGlitch26/Hinglish-AI-Mentor,5,1,"azure,google,llm-serving,nlp-machine-learning,prompt-engineering",llm-serving
scale-snu/layered-prefill,scale-snu,layered-prefill,https://github.com/scale-snu/layered-prefill,4,0,"llm-serving,vllm,inference,llm,llm-infernece,moe",llm-serving
Adarshreddyash/surfing-weights,Adarshreddyash,surfing-weights,https://github.com/Adarshreddyash/surfing-weights,4,2,"huggingface,llm,llm-serving,models",llm-serving
CentML/llm-inference-bench,CentML,llm-inference-bench,https://github.com/CentML/llm-inference-bench,4,0,"benchmarking,llm-inference,llm-serving",llm-serving
diverged/tavily-go,diverged,tavily-go,https://github.com/diverged/tavily-go,4,1,"rag,answer-engine,chatgpt,llm-serving,retrieval-augmented-generation,search-engine",llm-serving
nuhmanpk/quick-llama,nuhmanpk,quick-llama,https://github.com/nuhmanpk/quick-llama,4,1,"llama,llm,ollama,pypi,colab,langchain-python,llm-agents,llm-serving,ollama-api,ollama-client,ollama-python,open-ai",llm-serving
zeeb0tt/runpod-llm,zeeb0tt,runpod-llm,https://github.com/zeeb0tt/runpod-llm,3,1,"llama-cpp,llama-cpp-python,llamacpp,llamacpp-python,llm,llm-inference,llm-serving,llm-training,llmops,llms,ollama,ollama-api,runpod,runpod-endpoint,runpod-serverless,runpod-worker,runpods",llm-serving
george-mountain/web-app-builder--LLM,george-mountain,web-app-builder--LLM,https://github.com/george-mountain/web-app-builder--LLM,3,0,"ai,llm,llm-serving,pypi,pypi-package,streamlit",llm-serving
biosfood/intel-llm-guide,biosfood,intel-llm-guide,https://github.com/biosfood/intel-llm-guide,2,0,"guide,intel,llm,llm-inference,llm-serving,machine-learning,setup,setup-development-environment,tutorial",llm-serving
genia-dev/vibraniumdome-docs,genia-dev,vibraniumdome-docs,https://github.com/genia-dev/vibraniumdome-docs,2,0,"adverarial-attacks,chatgpt,large-language-model,llm,llm-agent,llm-eval,llm-evaluation,llm-firewall,llm-framework,llm-inference,llm-security,llm-serving,llmops,openai,prompt-engineering,prompt-injection,prompt-injection-tool,prompts,security",llm-serving
neosun100/kimi-linear-vllm-docker-serve,neosun100,kimi-linear-vllm-docker-serve,https://github.com/neosun100/kimi-linear-vllm-docker-serve,2,0,"awq,docker,llm-serving,long-context,vllm,kimi-linear",llm-serving
AkshaySyal/End-to-End-Basketball-QA-RAG-Capstone,AkshaySyal,End-to-End-Basketball-QA-RAG-Capstone,https://github.com/AkshaySyal/End-to-End-Basketball-QA-RAG-Capstone,2,1,"llm-inference,llm-serving,llm-training,llmops",llm-serving
izmttk/nano-vllm-x,izmttk,nano-vllm-x,https://github.com/izmttk/nano-vllm-x,1,0,"deep-learning,inference,llm,pytorch,transformer,llm-serving",llm-serving
JohnClaw/gemma-2-2b-it.cs,JohnClaw,gemma-2-2b-it.cs,https://github.com/JohnClaw/gemma-2-2b-it.cs,1,0,"cpu-inference,csharp,gemma,gemma2,inference,inference-engine,int8,int8-inference,int8-quantization,llm,llm-inference,llm-serving,llms,quantization,gemma2-2b-it,model-serving","inference-engine,llm-serving,model-serving"
yykzjh/CapriLLM,yykzjh,CapriLLM,https://github.com/yykzjh/CapriLLM,1,0,"cuda,inference-engine,llm,pytorch,qwen3,transformer,llm-serving","inference-engine,llm-serving"
romitjain/gpt-benchmark,romitjain,gpt-benchmark,https://github.com/romitjain/gpt-benchmark,1,0,"llm-inference,llm-serving,triton",llm-serving
JohnClaw/qwen3.java,JohnClaw,qwen3.java,https://github.com/JohnClaw/qwen3.java,1,0,"cpu-inference,inference,inference-engine,java,java-ports,llm,llm-inference,llm-serve,llm-serving,llms,q8,quantization,qwen,qwen3","inference-engine,llm-serving"
JohnClaw/llama-3.2-1b.vb,JohnClaw,llama-3.2-1b.vb,https://github.com/JohnClaw/llama-3.2-1b.vb,1,0,"cpu-inference,fp16,inference,inference-engine,llama,llama3,llm,llm-inference,vb-net,vbnet,visual-basic-dot-net,visual-basic-net,basic-programming,llm-serving,llms,llama3-2,model-serving","inference-engine,llm-serving,model-serving"
ajithvcoder/TSAI-EMLO-4.0,ajithvcoder,TSAI-EMLO-4.0,https://github.com/ajithvcoder/TSAI-EMLO-4.0,1,1,"aws,mlops,torch,aws-cdk,aws-ec2,aws-ecr,aws-lambda,ci-cd,cml,dvc-pipeline,github-actions,gpu-instancing,gradio,litserve,llm-serving,pytorch-lightning,torchscript,torchserve,mlops-workflow",llm-serving
suleymansevimli/run-llm-model-locally,suleymansevimli,run-llm-model-locally,https://github.com/suleymansevimli/run-llm-model-locally,1,0,"git-lfs,huggingface,llm,llm-serving,python",llm-serving
Stosan/commentator,Stosan,commentator,https://github.com/Stosan/commentator,1,1,"generative-ai,llm-serving",llm-serving
jbchouinard/llmailbot,jbchouinard,llmailbot,https://github.com/jbchouinard/llmailbot,1,0,"email,langchain,langchain-python,llm-serving,python,large-language-models,llm,llms",llm-serving
ivynya/illm,ivynya,illm,https://github.com/ivynya/illm,1,0,"llm-serving,ollama,ollama-interface",llm-serving
okikorg/okik,okikorg,okik,https://github.com/okikorg/okik,0,0,"llm,llm-inference,llm-serving,deeplearning,llmops,machine-learning,python,model-serving","llm-serving,model-serving"
biomchen/llm-serving,biomchen,llm-serving,https://github.com/biomchen/llm-serving,0,0,"llm-serving,llama2-7b,llama2-13b",llm-serving
InquestGeronimo/horizon-takeoff,InquestGeronimo,horizon-takeoff,https://github.com/InquestGeronimo/horizon-takeoff,0,0,"artificial-intelligence,aws,cloud,deep-learning,ec2,llm-inference,llm-serving,llmops,machine-learning,server",llm-serving
george-mountain/LLM-Local-Streaming,george-mountain,LLM-Local-Streaming,https://github.com/george-mountain/LLM-Local-Streaming,0,1,"ai,fastapi,llm,llm-serving,streamlit,llm-streaming",llm-serving
EAlmazanG/sentiment-analysis-reviews,EAlmazanG,sentiment-analysis-reviews,https://github.com/EAlmazanG/sentiment-analysis-reviews,0,0,"analytics,business-intelligence,learning,llm,llm-serving,machine,ml,python,scraper,sentiment,streamlit",llm-serving
valyu-network/Stitch,valyu-network,Stitch,https://github.com/valyu-network/Stitch,0,0,"llm-framework,llm-inference,llm-serving,llmstack",llm-serving
liux2/DL_env_Setups,liux2,DL_env_Setups,https://github.com/liux2/DL_env_Setups,0,0,"deep-learning,docker,environments,llm-serving",llm-serving
WeOnlyLiveOnce13/Text_classification_Streamlit_App,WeOnlyLiveOnce13,Text_classification_Streamlit_App,https://github.com/WeOnlyLiveOnce13/Text_classification_Streamlit_App,0,0,"llm,llm-inference,llm-serving,web",llm-serving
theneildave/ml-engineering,theneildave,ml-engineering,https://github.com/theneildave/ml-engineering,0,0,"deep-learning,inference,large-language-model,llm,llm-inference,llm-serving,llm-training,machine-learning",llm-serving
BelG13/apple-rag-system,BelG13,apple-rag-system,https://github.com/BelG13/apple-rag-system,0,0,"llm-serving,macos,rag,rag-chatbot",llm-serving
SirmaXX/llm-os-implementation,SirmaXX,llm-os-implementation,https://github.com/SirmaXX/llm-os-implementation,0,0,"llm,llm-framework,llm-os,llm-serving,llmops",llm-serving
KevinZeng08/efficient-large-model-papers,KevinZeng08,efficient-large-model-papers,https://github.com/KevinZeng08/efficient-large-model-papers,0,1,"llm,llm-inference,llm-serving,papers,efficient-llm",llm-serving
NavishaShetty/Scaling-with-Kubernetes,NavishaShetty,Scaling-with-Kubernetes,https://github.com/NavishaShetty/Scaling-with-Kubernetes,0,0,"aws,gpu,kubernetes-cluster,kubespray,llm-inference,llm-serving",llm-serving
emmaalecrim/llm-ws,emmaalecrim,llm-ws,https://github.com/emmaalecrim/llm-ws,0,0,"chat-application,chatgpt,openai,openai-api,websocket-server,cloud-build,cloud-run,docker,llm,nodejs,typescript,llm-serving,ws,firebase,redis",llm-serving
henryle97/llm-serving-benchmark,henryle97,llm-serving-benchmark,https://github.com/henryle97/llm-serving-benchmark,0,0,"bentoml,llm-benchmarking,llm-inference,llm-serving",llm-serving
JayDS22/Production-LLM-Serving-Optimization-Framework,JayDS22,Production-LLM-Serving-Optimization-Framework,https://github.com/JayDS22/Production-LLM-Serving-Optimization-Framework,0,0,"inference-embedded-engine,int8-quantization,llm-serving,multimodal",llm-serving
ahkarami/Deep-Learning-in-Production,ahkarami,Deep-Learning-in-Production,https://github.com/ahkarami/Deep-Learning-in-Production,4377,697,"deep-learning,deep-neural-networks,python,pytorch,tesnorflow,keras,mxnet,caffe2,production,serving,c-plus-plus,model-serving,tutorial,flask,rest-api,react,serving-pytorch-models,convert-pytorch-models,angularjs,tensorflow-models",model-serving
FedML-AI/FedML,FedML-AI,FedML,https://github.com/FedML-AI/FedML,3963,761,"federated-learning,deep-learning,distributed-training,edge-ai,machine-learning,on-device-training,inference-engine,mlops,model-deployment,model-serving,ai-agent","inference-engine,mlops,model-deployment,model-serving"
ModelTC/LightLLM,ModelTC,LightLLM,https://github.com/ModelTC/LightLLM,3704,281,"deep-learning,gpt,llama,llm,model-serving,nlp,openai-triton",model-serving
HuaizhengZhang/AI-Infra-from-Zero-to-Hero,HuaizhengZhang,AI-Infra-from-Zero-to-Hero,https://github.com/HuaizhengZhang/AI-Infra-from-Zero-to-Hero,3373,344,"large-language-models,ai-infra,genai,mlsys,model-serving,model-training,llmsys",model-serving
beclab/Olares,beclab,Olares,https://github.com/beclab/Olares,2694,115,"kubernetes,self-hosted,home-automation,homelab,edge-ai,homeserver,local-ai,ai-privacy,ai-agents,model-serving,mcp,personal-cloud,home-cloud,home-server",model-serving
tensorchord/envd,tensorchord,envd,https://github.com/tensorchord/envd,2155,161,"developer-tools,development-environment,docker,buildkit,hacktoberfest,llmops,mlops,mlops-workflow,model-serving,agent,code-agent,codex","mlops,model-serving"
mlrun/mlrun,mlrun,mlrun,https://github.com/mlrun/mlrun,1608,284,"mlops,python,data-science,machine-learning,data-engineering,experiment-tracking,model-serving,mlops-workflow,workflow,kubernetes","mlops,model-serving"
logicalclocks/hopsworks,logicalclocks,hopsworks,https://github.com/logicalclocks/hopsworks,1258,153,"feature-store,aws,azure,data-science,feature-engineering,feature-management,gcp,governance,kserve,machine-learning,mlops,model-serving,pyspark,python,serverless,ml,hopsworks","mlops,model-serving"
kitops-ml/kitops,kitops-ml,kitops,https://github.com/kitops-ml/kitops,1232,148,"ai,code,datasets,devops,devops-tools,ml,mlops,models,mlops-tools,gguf,kubernetes,kubernetes-deployment,pytorch,sklearn,tensorflow,model-interpretability,model-serving,opensource,hacktoberfest,platform-engineering","mlops,model-serving"
basetenlabs/truss,basetenlabs,truss,https://github.com/basetenlabs/truss,1083,91,"machine-learning,artificial-intelligence,easy-to-use,inference-api,inference-server,model-serving,open-source,packaging,falcon,stable-diffusion,whisper,wizardlm",model-serving
bentoml/Yatai,bentoml,Yatai,https://github.com/bentoml/Yatai,826,77,"bentoml,kubernetes,mlops,model-deployment,model-serving,k8s,machine-learning","mlops,model-deployment,model-serving"
openvinotoolkit/model_server,openvinotoolkit,model_server,https://github.com/openvinotoolkit/model_server,787,231,"openvino,inference,ai,edge,cloud,deep-learning,serving,dag,kubernetes,machine-learning,model-serving,genai",model-serving
trustgraph-ai/trustgraph,trustgraph-ai,trustgraph,https://github.com/trustgraph-ai/trustgraph,724,58,"graphrag,data-sovereignty,llm-deployment,llm-orchestration,agentic-graphrag,trustgraph,context-engineering,context-management,model-serving,agentic-ai,agentic-ai-development,agentic-rag,knowledge-core,ai-native,data-engineering,agentic,agentic-framework,context-stack",model-serving
ServerlessLLM/ServerlessLLM,ServerlessLLM,ServerlessLLM,https://github.com/ServerlessLLM/ServerlessLLM,581,59,"large-language-models,model-as-a-service,model-serving,serverless-inference,cuda,pytorch,huggingface-transformers",model-serving
underneathall/pinferencia,underneathall,pinferencia,https://github.com/underneathall/pinferencia,549,83,"ai,inference-server,predict,inference,deep-learning,modelserver,machine-learning,python,serving,model-deployment,huggingface,pytorch,tensorflow,transformers,artificial-intelligence,data-science,model-serving,computer-vision,nlp,paddlepaddle","model-deployment,model-serving"
eightBEC/fastapi-ml-skeleton,eightBEC,fastapi-ml-skeleton,https://github.com/eightBEC/fastapi-ml-skeleton,500,90,"python,python3,fastapi,machine-learning,model-serving",model-serving
intel/xFasterTransformer,intel,xFasterTransformer,https://github.com/intel/xFasterTransformer,431,76,"chatglm,inference,intel,llama,llm,model-serving,qwen,transformer,xeon",model-serving
Lightning-Universe/stable-diffusion-deploy,Lightning-Universe,stable-diffusion-deploy,https://github.com/Lightning-Universe/stable-diffusion-deploy,390,38,"model-serving,stable-diffusion",model-serving
bentoml/BentoDiffusion,bentoml,BentoDiffusion,https://github.com/bentoml/BentoDiffusion,374,28,"ai,diffusion-models,fine-tuning,kubernetes,lora,model-serving,stable-diffusion",model-serving
aniketmaurya/chitra,aniketmaurya,chitra,https://github.com/aniketmaurya/chitra,230,37,"tensorflow,image-processing,object-detection,deep-learning,image-dataset,visualization,gradcam,model-interpretation,model-visualization,image-classification,bounding-boxes,model-deployment,mlops,model-serving,python,machine-learning,fastapi,hacktoberfest,pytorch","mlops,model-deployment,model-serving"
lightbend/kafka-with-akka-streams-kafka-streams-tutorial,lightbend,kafka-with-akka-streams-kafka-streams-tutorial,https://github.com/lightbend/kafka-with-akka-streams-kafka-streams-tutorial,212,71,"akka,kafka-streams,model-serving",model-serving
clearml/clearml-serving,clearml,clearml-serving,https://github.com/clearml/clearml-serving,156,50,"machine-learning,mlops,devops,deep-learning,kubernetes,ai,clearml,model-serving,serving,serving-pytorch-models,serving-ml,tensorflow-serving,triton,triton-inference-server",model-serving
spotify/zoltar,spotify,zoltar,https://github.com/spotify/zoltar,142,33,"model-serving,machine-learning,xgboost,tensorflow,java",model-serving
FederatedAI/FATE-Serving,FederatedAI,FATE-Serving,https://github.com/FederatedAI/FATE-Serving,141,77,"federated-learning,model-serving,model-versioning,monitor,inference",model-serving
bentoml/gallery,bentoml,gallery,https://github.com/bentoml/gallery,141,48,"machine-learning,machine-learning-library,model-serving,model-management,model-deployment,aws-sagemaker,serverless,aws-lambda,gcp-cloud-functions,azure-machine-learning,data-science,machine-learning-workflow,gallery,bentoml","model-deployment,model-serving"
